ML-KEM-512,1,0.075792
ML-KEM-512,2,0.055958
ML-KEM-512,3,0.055167
ML-KEM-512,4,0.058250
ML-KEM-512,5,0.053667
ML-KEM-512,6,0.053167
ML-KEM-512,7,0.052791
ML-KEM-512,8,0.139250
ML-KEM-512,9,0.061084
ML-KEM-512,10,0.052666
ML-KEM-512,11,0.052583
ML-KEM-512,12,0.051833
ML-KEM-512,13,0.052041
ML-KEM-512,14,0.051875
ML-KEM-512,15,0.051875
ML-KEM-512,16,0.051166
ML-KEM-512,17,0.051792
ML-KEM-512,18,0.051334
ML-KEM-512,19,0.051584
ML-KEM-512,20,0.051750
ML-KEM-512,21,0.051541
ML-KEM-512,22,0.051416
ML-KEM-512,23,0.051750
ML-KEM-512,24,0.051375
ML-KEM-512,25,0.051625
ML-KEM-512,26,0.051875
ML-KEM-512,27,0.051458
ML-KEM-512,28,0.051833
ML-KEM-512,29,0.051833
ML-KEM-512,30,0.052125
ML-KEM-512,31,0.051292
ML-KEM-512,32,0.051500
ML-KEM-512,33,0.051625
ML-KEM-512,34,0.051500
ML-KEM-512,35,0.051375
ML-KEM-512,36,0.051584
ML-KEM-512,37,0.051791
ML-KEM-512,38,0.051542
ML-KEM-512,39,0.052083
ML-KEM-512,40,0.051875
ML-KEM-512,41,0.051833
ML-KEM-512,42,0.051958
ML-KEM-512,43,0.051417
ML-KEM-512,44,0.051750
ML-KEM-512,45,0.051834
ML-KEM-512,46,0.051209
ML-KEM-512,47,0.051625
ML-KEM-512,48,0.051875
ML-KEM-512,49,0.051500
ML-KEM-512,50,0.052042
ML-KEM-512,51,0.051541
ML-KEM-512,52,0.051375
ML-KEM-512,53,0.051209
ML-KEM-512,54,0.051250
ML-KEM-512,55,0.051375
ML-KEM-512,56,0.051291
ML-KEM-512,57,0.051167
ML-KEM-512,58,0.051500
ML-KEM-512,59,0.051708
ML-KEM-512,60,0.051666
ML-KEM-512,61,0.051500
ML-KEM-512,62,0.051375
ML-KEM-512,63,0.051500
ML-KEM-512,64,0.051583
ML-KEM-512,65,0.051416
ML-KEM-512,66,0.051583
ML-KEM-512,67,0.052208
ML-KEM-512,68,0.051375
ML-KEM-512,69,0.051375
ML-KEM-512,70,0.051541
ML-KEM-512,71,0.051333
ML-KEM-512,72,0.051250
ML-KEM-512,73,0.051958
ML-KEM-512,74,0.052000
ML-KEM-512,75,0.052083
ML-KEM-512,76,0.051959
ML-KEM-512,77,0.052042
ML-KEM-512,78,0.051458
ML-KEM-512,79,0.051791
ML-KEM-512,80,0.052000
ML-KEM-512,81,0.051041
ML-KEM-512,82,0.051041
ML-KEM-512,83,0.051375
ML-KEM-512,84,0.051125
ML-KEM-512,85,0.051000
ML-KEM-512,86,0.051708
ML-KEM-512,87,0.051209
ML-KEM-512,88,0.052042
ML-KEM-512,89,0.051750
ML-KEM-512,90,0.051667
ML-KEM-512,91,0.052084
ML-KEM-512,92,0.051417
ML-KEM-512,93,0.051333
ML-KEM-512,94,0.051333
ML-KEM-512,95,0.050916
ML-KEM-512,96,0.051084
ML-KEM-512,97,0.051208
ML-KEM-512,98,0.051084
ML-KEM-512,99,0.051083
ML-KEM-512,100,0.051292
X25519,1,0.343958
X25519,2,0.318833
X25519,3,0.320625
X25519,4,0.323709
X25519,5,0.325167
X25519,6,0.329459
X25519,7,0.325708
X25519,8,0.371833
X25519,9,0.325833
X25519,10,0.337959
X25519,11,0.326084
X25519,12,0.321083
X25519,13,0.333000
X25519,14,0.323792
X25519,15,0.321958
X25519,16,0.321500
X25519,17,0.316750
X25519,18,0.318500
X25519,19,0.317333
X25519,20,0.319416
X25519,21,0.324375
X25519,22,0.333458
X25519,23,0.339708
X25519,24,0.405958
X25519,25,0.327625
X25519,26,0.330291
X25519,27,0.330042
X25519,28,0.317750
X25519,29,0.315750
X25519,30,0.317417
X25519,31,0.321750
X25519,32,0.316375
X25519,33,0.334542
X25519,34,0.338833
X25519,35,0.337625
X25519,36,0.340500
X25519,37,0.346791
X25519,38,0.336416
X25519,39,0.326334
X25519,40,0.326500
X25519,41,0.326375
X25519,42,0.328167
X25519,43,0.366583
X25519,44,0.343625
X25519,45,0.329834
X25519,46,0.327125
X25519,47,0.336459
X25519,48,0.331250
X25519,49,0.325209
X25519,50,0.326000
X25519,51,0.325458
X25519,52,0.325584
X25519,53,0.325167
X25519,54,0.328375
X25519,55,0.330125
X25519,56,0.336541
X25519,57,0.325541
X25519,58,0.326417
X25519,59,0.327083
X25519,60,0.328708
X25519,61,0.326209
X25519,62,0.360250
X25519,63,0.338083
X25519,64,0.336625
X25519,65,0.336375
X25519,66,0.337542
X25519,67,0.337792
X25519,68,0.336458
X25519,69,0.336333
X25519,70,0.338208
X25519,71,0.336250
X25519,72,0.334541
X25519,73,0.329458
X25519,74,0.336000
X25519,75,0.346292
X25519,76,0.336791
X25519,77,0.336584
X25519,78,0.338250
X25519,79,0.336500
X25519,80,0.359500
X25519,81,0.338709
X25519,82,0.421625
X25519,83,0.328167
X25519,84,0.321792
X25519,85,0.318875
X25519,86,0.331417
X25519,87,0.334083
X25519,88,0.326875
X25519,89,0.335292
X25519,90,0.324708
X25519,91,0.322750
X25519,92,0.322667
X25519,93,0.325000
X25519,94,0.331167
X25519,95,0.326458
X25519,96,0.329458
X25519,97,0.334709
X25519,98,0.335792
X25519,99,0.373708
X25519,100,0.338833
